file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00468_0056_251440_to_254416,ཨོ་ད་དེ་འདྲའི་སྐོར་ལ། ཨེ་ལས་ང་ཚོས་ངེས་པ་གསོན་པོ་འདྲ་བོ་ཅིག་འདི་དགོས་ཀི་ཡོད་རེད་ད།  ,o da de 'dra'i skor la/_e las nga tshos nges pa gson po 'dra bo cig 'di dgos ki yod red da/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0056_251440_to_254416.wav,STT_TT,3,83,2.976,wav16k/STT_TT00468_0056_251440_to_254416.wav,འོ་ད་དེ་འདྲའི་སྐོར་ལ། ཨ་ལེ་ང་ཚོས་ངེས་པ་གསོན་པོ་འདྲ་བོ་ཅིག་འདི་དགོས་ཀི་ཡོད་རེད་ད།
STT_TT00468_0057_254704_to_258032,ད་ལས་འབྲས་འདི་ལ་ཅིག་སེམས་ཀི་སྟེང་ནས། བརྒྱ་ཆ་བརྒྱ་ཐམ་པ་ ,da las 'bras 'di la cig sems ki steng nas/_brgya cha brgya tham pa _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0057_254704_to_258032.wav,STT_TT,3,55,3.328,wav16k/STT_TT00468_0057_254704_to_258032.wav,ད་ལས་འབྲས་འདི་ལ་ཅིག་སེམས་ཀི་གྟིང་ནས་བརྒྱ་ཆ་བརྒྱ་ཐམ་པ་
STT_TT00468_0041_182256_to_184784,སོ་སོས་མིག་མཐོང་ལག་ཟིན་གི་གྲོགས་པོ་གྲོགས་མོ་ཚོའི་དཀྱིལ་ལ་ཡ།  ,so sos mig mthong lag zin gi grogs po grogs mo tsho'i dkyil la ya/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0041_182256_to_184784.wav,STT_TT,3,61,2.528,wav16k/STT_TT00468_0041_182256_to_184784.wav,སོ་སོའི་མིག་མཐོང་ལང་ཟིན་གི་གྲོགས་པོ་གྲོགས་མོ་ཚོའི་དཀྱིལ་ལ་ཡ་
STT_TT00468_0058_264944_to_267312,དཔྱིད་ཀའི་འདི་བ་ཚུར། ལོག་རྟོག་དེ་འདྲས་ཞིག་སྐྱེ་ཡོང་གི་འདུག ,dpyid ka'i 'di ba tshur/_log rtog de 'dras zhig skye yong gi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0058_264944_to_267312.wav,STT_TT,3,59,2.368,wav16k/STT_TT00468_0058_264944_to_267312.wav,དཔྱིས་ཀི་འདི་བ་ཚུར་ལོ་ཏོག་དེ་འདྲས་ཅིག་སྐྱེས་ཡོང་གི་འདུག
STT_TT00468_0042_184976_to_187760,ལས་འདི་དང་འདི་ལྟ་བུ་ཅིག་བསགས་པ་ལ་རྟེན་ནས། འབྲས་བུ་འདི་དང་འདི་ལྟ་བུ་ཅིག་སྨིན་བསྡད་རྒྱོ་ ,las 'di dang 'di lta bu cig bsags pa la rten nas/_'bras bu 'di dang 'di lta bu cig smin bsdad rgyo _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0042_184976_to_187760.wav,STT_TT,3,87,2.784,wav16k/STT_TT00468_0042_184976_to_187760.wav,ལས་འདི་དང་འདི་ལྟ་བུ་ཅིག་བསགས་པ་ལ་བརྟེན་ནས། འབྲས་བུ་འདི་དང་འདི་ལྟ་བུ་ཅིག་སྨིན་བསྡད་རྒྱོ།
STT_TT00468_0059_267408_to_270320,སྟོན་ཁ་འབྲས་བུ་དེ་འདྲས་དེ་འདྲས་བསྡུ་ཡ་འདུག་བསམ་བསམ་གི་བསམ་ཚུལ་དེ་ལ་ཡ་ ,ston kha 'bras bu de 'dras de 'dras bsdu ya 'dug bsam bsam gi bsam tshul de la ya _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0059_267408_to_270320.wav,STT_TT,3,70,2.912,wav16k/STT_TT00468_0059_267408_to_270320.wav,སྟོང་ཁ་འབྲས་བུ་དེ་འདྲས་དེ་འདྲས་སྡུག་ཡ་འདུག་བསམ་བསམ་གི་བསམ་ཚུལ་འདི་ལ་ཡ་
STT_TT00468_0043_194224_to_196912,བླ་མ་དེ་འདྲས་ཅིག དེ་འདྲས་ཅིག་བྱུང་བ་རེད། དེ་འདྲས་ཅིག དེ་འདྲས་ཅིག་བྱུང་བ་རེད་ཅེས་བྱས་བྱས།  ,bla ma de 'dras cig_de 'dras cig byung ba red/_de 'dras cig_de 'dras cig byung ba red ces byas byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0043_194224_to_196912.wav,STT_TT,3,90,2.688,wav16k/STT_TT00468_0043_194224_to_196912.wav,བླ་མ་དེ་འདྲས་ཅིག་དེ་འདྲས་ཅིག་བྱུང་པ་རེད། དེ་འདྲས་ཅིག་དེ་འདྲས་ཅིག་བྱུང་པ་རེད་བྱས་བྱས་
STT_TT00468_0060_276848_to_278864,མོ་རྒྱབ། ལྷ་ཞུས། ཀླུ་ཞུས་ནས་ ,mo rgyab/_lha zhus/_klu zhus nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0060_276848_to_278864.wav,STT_TT,3,29,2.016,wav16k/STT_TT00468_0060_276848_to_278864.wav,མོ་བརྒྱབ་ལྷ་བཅུས། ཀླུ་ཞུས་ནས་
STT_TT00468_0061_282928_to_285232,ང་རང་ཚོའི་འཚོ་བའི་ཐོག་ལ་ཉམས་མྱོང་བྱས་བྱས།  ,nga rang tsho'i 'tsho ba'i thog la nyams myong byas byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0061_282928_to_285232.wav,STT_TT,3,43,2.304,wav16k/STT_TT00468_0061_282928_to_285232.wav,ང་རང་ཚོའི་འཚོ་བའི་ཐོག་ལ་ཉམས་མྱོང་ཅིག་བྱས་བྱས།
STT_TT00468_0062_285488_to_287536,ང་རང་ཚོའི་ལས་ཀ་འདི་བྱས་མྱོང་ཡོད་པེ་བྱས་བྱས།  ,nga rang tsho'i las ka 'di byas myong yod pe byas byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00468_0062_285488_to_287536.wav,STT_TT,3,45,2.048,wav16k/STT_TT00468_0062_285488_to_287536.wav,ང་རང་ཚོའི་ལས་ཀ་འདི་བྱེད་མྱོང་ཡོད་པ་བྱས་བྱས།
